id_estacion;latitud;longitud;fecha;no2
28079004;40.424319;-3.711782;31/03/2016 4:00;15
28079004;40.424319;-3.711782;31/03/2016 4:00;15
28079004;40.424319;-3.711782;31/03/2016 5:00;5
28079004;40.424319;-3.711782;31/03/2016 5:00;5
28079004;40.424319;-3.711782;31/03/2016 5:00;5
28079004;40.424319;-3.711782;01/04/2016 7:00;10
28079004;40.424319;-3.711782;01/04/2016 8:00;32
28079004;40.424319;-3.711782;01/04/2016 8:00;32
28079004;40.424319;-3.711782;01/04/2016 8:00;32
28079004;40.424319;-3.711782;01/04/2016 8:00;32
28079004;40.424319;-3.711782;01/04/2016 9:00;73
28079004;40.424319;-3.711782;01/04/2016 9:00;73
28079004;40.424319;-3.711782;01/04/2016 9:00;73
28079004;40.424319;-3.711782;01/04/2016 10:00;69
28079004;40.424319;-3.711782;01/04/2016 10:00;69
28079004;40.424319;-3.711782;01/04/2016 10:00;69
28079004;40.424319;-3.711782;01/04/2016 11:00;67
28079004;40.424319;-3.711782;01/04/2016 11:00;67
28079004;40.424319;-3.711782;01/04/2016 11:00;67
28079004;40.424319;-3.711782;01/04/2016 12:00;35
28079004;40.424319;-3.711782;01/04/2016 12:00;35
28079004;40.424319;-3.711782;01/04/2016 12:00;35
28079004;40.424319;-3.711782;02/04/2016 20:00;31
28079004;40.424319;-3.711782;02/04/2016 21:00;41
28079004;40.424319;-3.711782;02/04/2016 22:00;54
28079004;40.424319;-3.711782;02/04/2016 22:00;54
28079004;40.424319;-3.711782;02/04/2016 22:00;54
28079004;40.424319;-3.711782;02/04/2016 23:00;67
28079004;40.424319;-3.711782;02/04/2016 23:00;67
28079004;40.424319;-3.711782;02/04/2016 23:00;67
28079004;40.424319;-3.711782;02/04/2016 23:00;67
28079004;40.424319;-3.711782;03/04/2016 0:00;83
28079004;40.424319;-3.711782;03/04/2016 0:00;83
28079004;40.424319;-3.711782;03/04/2016 0:00;83
28079004;40.424319;-3.711782;03/04/2016 0:00;83
28079004;40.424319;-3.711782;03/04/2016 1:00;67
28079004;40.424319;-3.711782;03/04/2016 1:00;67
28079004;40.424319;-3.711782;03/04/2016 1:00;67
28079004;40.424319;-3.711782;03/04/2016 2:00;67
28079004;40.424319;-3.711782;03/04/2016 2:00;67
28079004;40.424319;-3.711782;03/04/2016 2:00;67
28079004;40.424319;-3.711782;03/04/2016 3:00;41
28079004;40.424319;-3.711782;03/04/2016 3:00;41
28079004;40.424319;-3.711782;03/04/2016 3:00;41
28079004;40.424319;-3.711782;03/04/2016 4:00;62
28079004;40.424319;-3.711782;03/04/2016 4:00;62
28079004;40.424319;-3.711782;03/04/2016 5:00;67
28079004;40.424319;-3.711782;04/04/2016 1:00;29
28079004;40.424319;-3.711782;04/04/2016 1:00;29
28079004;40.424319;-3.711782;04/04/2016 2:00;20
28079004;40.424319;-3.711782;04/04/2016 2:00;20
28079004;40.424319;-3.711782;04/04/2016 2:00;20
28079004;40.424319;-3.711782;04/04/2016 2:00;20
28079004;40.424319;-3.711782;04/04/2016 3:00;16
28079004;40.424319;-3.711782;04/04/2016 3:00;16
28079004;40.424319;-3.711782;04/04/2016 3:00;16
28079004;40.424319;-3.711782;04/04/2016 4:00;11
28079004;40.424319;-3.711782;04/04/2016 4:00;11
28079004;40.424319;-3.711782;05/04/2016 11:00;47
28079004;40.424319;-3.711782;05/04/2016 12:00;30
28079004;40.424319;-3.711782;05/04/2016 12:00;30
28079004;40.424319;-3.711782;05/04/2016 12:00;30
28079004;40.424319;-3.711782;05/04/2016 13:00;35
28079004;40.424319;-3.711782;05/04/2016 13:00;35
28079004;40.424319;-3.711782;05/04/2016 13:00;35
28079004;40.424319;-3.711782;05/04/2016 13:00;35
28079004;40.424319;-3.711782;05/04/2016 14:00;46
28079004;40.424319;-3.711782;06/04/2016 19:00;35
28079004;40.424319;-3.711782;06/04/2016 20:00;38
28079004;40.424319;-3.711782;06/04/2016 20:00;38
28079004;40.424319;-3.711782;06/04/2016 21:00;40
28079004;40.424319;-3.711782;06/04/2016 21:00;40
28079004;40.424319;-3.711782;06/04/2016 22:00;70
28079004;40.424319;-3.711782;06/04/2016 22:00;70
28079004;40.424319;-3.711782;06/04/2016 22:00;70
28079004;40.424319;-3.711782;06/04/2016 23:00;83
28079004;40.424319;-3.711782;06/04/2016 23:00;83
